id,source,target,year,month,day,mode,companions,notes
100001,home_axe_yard,exeter_house_chapel,1659/60,1,1,walk,,
100002,exeter_house_chapel,home_axe_yard,1659/60,1,1,walk,,
100003,home_axe_yard,john_pepys_house,1659/60,1,1,walk,Elizabeth Pepys,
100004,john_pepys_house,turner_house,1659/60,1,1,walk,Elizabeth Pepys; Theophila Turner; Madam Morrice,
100005,turner_house,home_axe_yard,1659/60,1,1,walk,Elizabeth Pepys,
100006,home_axe_yard,sandwich_lodgings,1659/60,1,2,walk,,
100007,sandwich_lodgings,lestrange_calthorpe_chamber,1659/60,1,2,walk,,
100008,lestrange_calthorpe_chamber,john_crews_house,1659/60,1,2,walk,,
100009,john_crews_house,office_exchequer,1659/60,1,2,walk,,
100010,office_exchequer,westminster_hall,1659/60,1,2,walk,,
100011,westminster_hall,home_axe_yard,1659/60,1,2,walk,,
100012,home_axe_yard,john_crews_house,1659/60,1,2,walk,,
100013,john_crews_house,the_new_market,1659/60,1,2,walk,Mr Moore; unknown man,
100014,the_new_market,fleet_street,1659/60,1,2,walk,Mr Moore,
100015,fleet_street,lestrange_calthorpe_chamber,1659/60,1,2,walk,,
100016,lestrange_calthorpe_chamber,john_crews_house,1659/60,1,2,walk,,
100017,john_crews_house,sandwich_lodgings,1659/60,1,2,walk,,
100018,sandwich_lodgings,home_axe_yard,1659/60,1,2,walk,,
100019,home_axe_yard,wills_alehouse,1659/60,1,2,walk,,
100020,wills_alehouse,home_axe_yard,1659/60,1,2,walk,,
100021,home_axe_yard,turner_house,1659/60,1,3,walk,,
100022,turner_house,lestrange_calthorpe_chamber,1659/60,1,3,walk,,
100023,lestrange_calthorpe_chamber,office_exchequer,1659/60,1,3,walk,,
100024,office_exchequer,home_axe_yard,1659/60,1,3,walk,,
100025,home_axe_yard,sandwich_lodgings,1659/60,1,3,walk,Jemimah Montagu,
100026,sandwich_lodgings,lestrange_calthorpe_chamber,1659/60,1,3,walk,Mr Hawly,
100027,lestrange_calthorpe_chamber,whitehall_palace,1659/60,1,3,walk,,
100028,whitehall_palace,home_axe_yard,1659/60,1,3,walk,,
100029,home_axe_yard,office_exchequer,1659/60,1,4,walk,Mr Vanley's man,
100030,office_exchequer,westminster_hall,1659/60,1,4,walk,,
100031,westminster_hall,wills_alehouse,1659/60,1,4,walk,,
100032,wills_alehouse,westminster_hall,1659/60,1,4,walk,,
100033,westminster_hall,swan_inn,1659/60,1,4,walk,Clerk of Sandwich Troop; Quartermaster of Sandwich Troop,
100034,swan_inn,home_axe_yard,1659/60,1,4,walk,,
100035,home_axe_yard,wills_alehouse,1659/60,1,4,walk,,
100036,wills_alehouse,westminster_hall,1659/60,1,4,walk,,
100037,westminster_hall,wills_alehouse,1659/60,1,4,walk,,
100038,wills_alehouse,george_vines_house,1659/60,1,4,walk,,
100039,george_vines_house,john_hunt_house,1659/60,1,4,walk,,
100040,john_hunt_house,home_axe_yard,1659/60,1,4,walk,,
100041,home_axe_yard,office_exchequer,1659/60,1,5,walk,,
100042,office_exchequer,sandwich_lodgings,1659/60,1,5,walk,,
100043,sandwich_lodgings,office_exchequer,1659/60,1,5,walk,,
100044,office_exchequer,home_axe_yard,1659/60,1,5,walk,,
100045,home_axe_yard,sandwich_lodgings,1659/60,1,5,walk,Elizabeth Pepys,
100046,sandwich_lodgings,valentine_fage_house,1659/60,1,5,walk,,
100047,valentine_fage_house,john_pepys_house,1659/60,1,5,walk,,
100048,john_pepys_house,sandwich_lodgings,1659/60,1,5,walk,,
100049,sandwich_lodgings,home_axe_yard,1659/60,1,5,walk,Elizabeth Pepys; Mrs Sheply,
100050,home_axe_yard,harpers_tavern,1659/60,1,6,walk,John Pepys,
100051,harpers_tavern,office_exchequer,1659/60,1,6,walk,,
100052,office_exchequer,home_axe_yard,1659/60,1,6,walk,,
100053,home_axe_yard,thomas_pepys_house,1659/60,1,6,walk,Elizabeth Pepys,
100054,thomas_pepys_house,stradwick_house,1659/60,1,6,walk,,
100055,stradwick_house,george_vines_house,1659/60,1,6,walk,,
100056,george_vines_house,home_axe_yard,1659/60,1,6,walk,,
100057,home_axe_yard,stradwick_house,1659/60,1,6,walk,Jane Birch,
100058,stradwick_house,home_axe_yard,1659/60,1,6,walk,Elizabeth Pepys; Jane Birch,
100059,home_axe_yard,office_exchequer,1659/60,1,7,walk,,
100060,office_exchequer,home_axe_yard,1659/60,1,7,walk,Jane Turner; Theophila Turner; Madame Morris; Joyce Norton,
100061,home_axe_yard,george_downings_lodgings,1659/60,1,7,walk,,
100062,george_downings_lodgings,home_axe_yard,1659/60,1,7,walk,,
100063,home_axe_yard,dr_hoares_house,1659/60,1,7,walk,Mr Hawley; Jane Turner; Theophila Turner; Madame Morris; Joyce Norton,
100064,dr_hoares_house,sandwich_lodgings,1659/60,1,7,walk,,
100065,sandwich_lodgings,home_axe_yard,1659/60,1,7,walk,Elizabeth Pepys,
100066,home_axe_yard,exeter_house_chapel,1659/60,1,8,walk,,
100067,exeter_house_chapel,john_pepys_house,1659/60,1,8,walk,,
100068,john_pepys_house,robert_mossum_church,1659/60,1,8,walk,Elizabeth Pepys,
100069,robert_mossum_church,turner_house,1659/60,1,8,walk,,
100070,turner_house,john_pepys_house,1659/60,1,8,walk,,
100071,john_pepys_house,home_axe_yard,1659/60,1,8,walk,Elizabeth Pepys; Mr Shepley,
100072,home_axe_yard,harpers_tavern,1659/60,1,9,walk,William Symons; Henry Muddiman; Jack Price,
100073,harpers_tavern,turks_head_coffee_house,1659/60,1,9,walk,Henry Muddiman,
100074,turks_head_coffee_house,westminster_hall,1659/60,1,9,walk,,
100075,westminster_hall,home_axe_yard,1659/60,1,9,walk,Clerk of Sandwich Troop; Quartermaster of Sandwich Troop,
100076,home_axe_yard,alehouse_unknown_1,1659/60,1,10,walk,Ralph Greatorex,
100077,alehouse_unknown_1,john_crews_house,1659/60,1,10,walk,,
100078,john_crews_house,office_exchequer,1659/60,1,10,walk,,
100079,office_exchequer,westminster_hall,1659/60,1,10,walk,,
100080,westminster_hall,cookshop_unknown_1,1659/60,1,10,walk,Quartermaster of Sandwich Troop; Mr Jennings; Captain William Rider,
100081,cookshop_unknown_1,city_of_london,1659/60,1,10,walk,Mr Jennings,
100082,city_of_london,star_tavern,1659/60,1,10,walk,Mr Jennings,
100083,star_tavern,turks_head_coffee_house,1659/60,1,10,walk,,
100084,turks_head_coffee_house,mother_lams_pub,1659/60,1,10,walk,Thomas Doling,
100085,mother_lams_pub,home_axe_yard,1659/60,1,10,walk,,
100086,home_axe_yard,harpers_tavern,1659/60,1,10,walk,,
